Date,SARIMAX,STL,Prophet,UCM,Theta,Ensemble,SARIMAX + Prophet (50% each),SARIMAX + STL + Theta (33% each)
2013-03-01,47289890.34434739,47574402.57190952,47385398.22983308,47409652.12710378,48289518.74148591,47589772.40293594,47337644.287090234,47717937.2192476
2013-03-08,47804089.528018534,47517149.35878743,47356105.22035475,46080598.5373008,47371760.305885695,47225940.59006944,47580097.37418664,47564333.064230554
2013-03-15,47323485.731046595,47216333.243815035,47049391.82640364,44985032.8396715,47192960.36352278,46753440.80089191,47186438.77872512,47244259.779461466
2013-03-22,45739835.641320765,45102763.87937311,46669051.63596809,44679755.823247865,45171161.86553834,45472513.76908963,46204443.63864443,45337920.4620774
2013-03-29,45971498.351457715,44551565.05607722,46998224.61848188,45219584.75701453,45601446.01448257,45668463.75950278,46484861.484969795,45374836.47400584
2013-04-05,52803025.145624004,52711763.35269585,48040469.98295802,46189057.38823101,51028116.71475596,50154486.51685297,50421747.564291015,52180968.4043586
2013-04-12,47097487.86975069,46897031.55425514,48713742.158000425,46975394.04824269,47045393.25514179,47345809.77707815,47905615.01387556,47013304.226382546
2013-04-19,45805196.29906875,46725436.50222827,48129878.64034306,47125076.195124276,48163058.40538584,47189729.20843004,46967537.46970591,46897897.06889429
2013-04-26,44679761.723515,44164132.70526078,46794809.78182098,46592688.4703176,44787014.24164,45403681.384510875,45737285.75266799,44543636.22347193
2013-05-03,47508350.14073742,47317924.25892849,46124407.708423615,45755547.86325376,48634126.95617331,47068071.385503314,46816378.924580514,47820133.78527974
2013-05-10,47343719.39158987,47177149.18493008,46841255.89700757,45194708.99494658,47120454.51717616,46735457.597130045,47092487.64429872,47213774.36456537
2013-05-17,47259096.00310752,46679876.732221626,48229210.5759114,45365464.39222847,45641027.74739196,46634935.0901722,47744153.28950946,46526666.82757371
2013-05-24,48146111.23936735,47543619.04914243,49092350.99155853,46335814.31131275,46919047.9697383,47607388.71222387,48619231.115462944,47536259.41941603
2013-05-31,48469187.03957253,48527907.48642103,49130200.45990951,47732664.12073352,50526289.47789557,48877249.71690644,48799693.74974102,49174461.334629714
2013-06-07,49606070.0962886,49692427.93659796,49042375.73780374,48924536.69967401,49397011.7499323,49332484.44405933,49324222.917046174,49565169.927606285
2013-06-14,48577486.77570425,48578974.11633636,49403632.56142036,49344916.258201376,49191586.126857504,49019319.16770397,48990559.66856231,48782682.33963271
2013-06-21,47960013.79422744,47606293.19274823,49875242.01570386,48786743.27456848,47631909.75740109,48372040.40692982,48917627.904965654,47732738.91479225
2013-06-28,47070799.73952338,46832871.57544654,49725073.92205789,47513751.219227135,49380275.878934324,48104554.46703786,48397936.83079064,47761315.73130142
2013-07-05,50935815.918775715,51004526.42747834,48847317.65596497,46129795.40243606,49599023.030125655,49303295.68695615,49891566.78737034,50513121.792126566
2013-07-12,46657909.04283238,46144419.00322325,47901430.66471489,45273162.06170034,47142589.27819887,46623902.010133944,47279669.85377364,46648305.77475151
2013-07-19,46624547.188655816,46216352.16982585,47479106.10476679,45293693.15048638,46871908.76801598,46497121.476350166,47051826.646711305,46570936.04216588
2013-07-26,44995507.19085775,44085788.898795925,47504864.47061776,46079376.247990705,45215108.19079303,45576128.99981104,46250185.830737755,44765468.09348223
2013-08-02,47808609.966222495,47704478.375090145,47626597.420271285,47121349.47106163,49828103.40178581,48017827.72688628,47717603.693246886,48447063.914366156
2013-08-09,47740166.87342609,47341938.583191544,47875655.3791777,47782411.619647466,48028322.01292185,47753698.89367293,47807911.12630189,47703475.82317982
2013-08-16,47699491.280710764,47386211.75294653,48507830.032278635,47628449.36603241,48671731.50880087,47978742.78815384,48103660.6564947,47919144.84748606
2013-08-23,47776586.85640815,47762176.88451108,49225687.72493582,46649766.157318644,48320472.17058024,47946937.95875079,48501137.29067199,47953078.63716649
2013-08-30,47537771.23736042,46690422.710254356,49076492.85376837,45257336.441504814,47930099.74876692,47298424.598330975,48307132.0455644,47386097.8987939
2013-09-06,50243560.60975991,48309144.54711427,48639788.93861518,46188109.695544116,47835611.861288264,48243243.13046435,49441674.77418755,48796105.67272081
2013-09-13,45102497.56097215,44287951.67455396,45422731.76849682,43527887.20696681,44966562.291605085,44661526.100518964,45262614.66473448,44785670.50904373
2013-09-20,45209176.44923969,44308258.25092092,44438520.20539511,43766194.16529285,43510236.50153065,44246477.11447585,44823848.3273174,44342557.067230426
2013-09-27,44694787.5224692,43468497.648102015,45251701.00000546,44456775.853961945,43723979.953652054,44319148.39563813,44973244.26123733,43962421.70807442
2013-10-04,47875634.55564642,47774557.128421694,46717934.451220594,45072629.5131604,47798807.61485136,47047912.652660094,47296784.50343351,47816333.099639826
2013-10-11,46681802.00492959,45970379.158038445,47162783.560956344,45212142.34358144,45292023.17179068,46063826.0478593,46922292.782942966,45981401.44491958
2013-10-18,45846603.90151847,45534389.4606113,46405786.751597926,44885631.54291469,45988281.61129942,45732138.65358836,46126195.3265582,45789758.3244764
2013-10-25,46196674.997115314,45799181.052298024,46022559.267608866,44584481.31365004,46291373.154783994,45778853.95709125,46109617.13236209,46095743.068065785
2013-11-01,48777277.76511834,49470914.281095855,47424672.12436598,45071816.14866103,48878917.71319831,47924719.60648791,48100974.94474216,49042369.91980416
2013-11-08,58951915.628632374,49263670.9236761,51239308.77239947,49109193.68772098,48969378.32386223,51506693.46725823,55095612.200515926,52394988.292056896
2013-11-15,47353014.29212037,47205203.32943293,52437995.14924684,50401083.16101107,47392301.07928328,48957919.4022189,49895504.720683604,47316839.56694553
2013-11-22,54208487.33753109,67337233.51273389,53864022.483209744,54707410.79887004,68536674.97719316,59730765.821907595,54036254.91037042,63360798.60915271
2013-11-29,49388995.69379656,50112131.4402657,55919491.95043905,58682342.441200435,51418054.16047415,53104203.13723518,52654243.822117805,50306393.76484547
2013-12-06,53641294.42278008,56261089.649856284,60031533.79880678,60969084.99464491,57600569.41977307,57700714.45717223,56836414.11079343,55834317.83080315
2013-12-13,56759246.27561751,60764317.05928176,64766975.692462094,60629163.91641033,63130535.375941016,61210047.66394254,60763110.9840398,60218032.903613426
2013-12-20,68413984.4915999,77655771.10877095,66086212.55577509,57568444.77352,81790510.56893216,70302984.69971962,67250098.5236875,75953422.05643433
2013-12-27,50255592.92668042,46679070.5246791,62204970.98206733,54759018.15013981,44754574.19400747,51730645.355514824,56230281.95437388,47229745.881789
2014-01-03,46332704.568227,45571242.28610818,51476628.84503984,47289696.143109575,45424785.23990602,47219011.41647812,48904666.70663342,45776244.031413734
2014-01-10,44311974.228811875,42618214.081808574,42800515.63555628,43104743.37160567,42813680.68403675,43129825.60036383,43556244.93218408,43247956.3315524
2014-01-17,44351886.61406898,42655533.78869551,39845422.50429205,41109982.27120142,42834409.38231545,42159446.91211468,42098654.55918051,43280609.92835998
2014-01-24,42804112.75114351,40388987.43415196,42746046.99196854,41464238.0359453,41134999.81438981,41707677.00551982,42775079.87155603,41442699.99989509
2014-01-31,47111536.056990795,46318446.01619193,47559500.399507135,43465738.3111523,47779809.70989607,46447006.09874765,47335518.22824897,47069930.5943596
2014-02-07,42780303.678989045,50200114.11844928,50314569.84797937,45922387.83747288,50413679.11393728,47926210.91936557,46547436.76348421,47798032.30379187
2014-02-14,60153792.34331145,50760517.486544505,51300531.83993236,49825119.235271215,51233365.87893303,52654665.35679851,55727162.091621906,54049225.236263
2014-02-21,46895083.08067086,46247058.827864796,48964828.97562976,48161830.424459904,46558863.41348505,47365532.94442207,47929956.02815031,46567001.7740069
2014-02-28,47645896.5914298,47572071.49348243,48338522.63094016,47409652.1271038,48612136.2186872,47915655.81232868,47992209.611184984,47943368.10119981
2014-03-07,48072749.401448034,47514901.597374775,48294341.575855,46080598.53730082,47688205.673617356,47530159.3571192,48183545.488651514,47758618.89081339
2014-03-14,47673785.17171463,47214165.82151403,48055788.86796487,44985032.839671515,47508170.847376354,47087388.70964828,47864787.01983975,47465373.94686834
2014-03-21,46359147.7464685,45100673.9247167,47630095.122382134,44679755.82324785,45472829.63646403,45848500.45065584,46994621.43442532,45644217.10254974
2014-03-28,46551458.20113005,44549549.80022984,47795129.868146405,45219584.75701451,45905948.256449774,46004334.176594116,47173294.034638226,45668985.41926988
2014-04-04,52222522.0639418,52709820.12578519,48768410.402857736,46189057.388230994,51368811.63246905,50251724.32265695,50495466.23339976,52100384.60739868
2014-04-11,47486177.285090744,46895157.78183501,49600692.6819722,46975394.04824268,47359456.75045474,47663375.70951907,48543434.983531475,47246930.6057935
2014-04-18,46413405.67084942,46723629.70186791,49249245.476641454,47125076.195124276,48484541.8868299,47599179.78626259,47831325.57374544,47207192.419849075
2014-04-25,45479147.26219735,44162390.483256064,47951040.920092575,46592688.4703176,45085924.6049492,45854238.34816256,46715094.091144964,44909154.116800874
2014-05-02,47827246.894826494,47316244.30713065,47069228.98488382,45755547.86325379,48958671.452662006,47385387.90055134,47448237.93985516,48034054.21820638
2014-05-09,47690581.76559132,47175529.27768782,47553521.42021495,45194708.994946584,47434857.65088226,47009839.82186458,47622051.59290314,47433656.23138714
2014-05-16,47620333.2465076,46678314.7234325,48916844.658864155,45365464.39222848,45945520.58956517,46905295.52211958,48268588.95268588,46748056.186501764
2014-05-23,48356672.31150434,47542112.86940963,49932880.12726834,46335814.31131276,47232026.93370735,47879901.310640484,49144776.21938634,47710270.70487377
2014-05-30,48624867.62870007,48526455.140311785,50084488.62899834,47732664.12073351,50863287.73519695,49166352.65078813,49354678.12884921,49338203.50140294
2014-06-06,49568629.77930616,49691027.49999992,49956406.61448484,48924536.699673995,49726435.74163616,49573407.26702021,49762518.196895495,49662031.00698075
2014-06-13,48714770.623804055,48577623.733908474,50235442.119354635,49344916.258201376,49519598.08760582,49278470.16457488,49475106.37157935,48937330.815106116
2014-06-20,48202187.007136405,47604991.07546275,50744558.86049795,48786743.274568476,47949480.9952694,48657592.24258699,49473372.93381718,47918886.35928953
2014-06-27,47464022.63424061,46831615.99821881,50740622.26486193,47513751.21922715,49709461.608289786,48451894.744967654,49102322.44955127,48001700.080249734
2014-07-04,50672493.33833826,51003315.72688145,49958641.62516606,46129795.40243606,49929624.61971323,49538774.14250702,50315567.48175216,50535144.561644316
2014-07-11,47121269.16494367,46143251.57528416,48966631.948379755,45273162.061700344,47456777.26982523,46992218.40402663,48043950.55666171,46907099.33668435
2014-07-18,47093574.4473033,46215226.46790049,48436825.36557274,45293693.15048637,47184252.741877,46844714.43462798,47765199.90643802,46831017.8856936
2014-07-25,45741257.44102638,44084703.4315201,48411222.83469335,46079376.2479907,45516373.007189296,45966586.59248397,47076240.137859866,45114111.293245256
2014-08-01,48076501.95845543,47703431.70440376,48528791.41802076,47121349.471061625,50160061.71848143,48318027.2540846,48302646.6882381,48646665.12711354
2014-08-08,48019685.208421126,47340929.32243339,48733092.17248278,47782411.619647466,48348249.07187118,48044873.4789712,48376388.69045195,47902954.53424189
2014-08-15,47985919.12788064,47385238.56501723,49294012.66989001,47628449.36603242,48995902.93134298,48257904.53203265,48639965.898885325,48122353.54141361
2014-08-22,48049918.5743431,47761238.48010164,50056389.86389391,46649766.15731867,48642262.86204683,48231915.18754083,49053154.219118506,48151139.972163856
2014-08-29,47851670.26648121,46689517.846138015,50132107.638144,45257336.44150482,48249249.878231876,47635976.41409999,48991888.9523126,47596812.66361704
2014-09-05,41623034.51036332,48308272.024499506,48809030.46450178,44057707.08029527,48154092.046509,46190427.22523378,45216032.487432554,46028466.19379061
2014-09-12,56039056.81173932,44287110.33749625,47804691.98744583,45658289.82221565,45265902.57774387,47811010.30732819,51921874.39959258,48530689.90899315
2014-09-19,45918630.969128236,44307446.98479131,45402834.577510625,43766194.165292844,43799845.020316504,44638990.343407914,45660732.77331943,44675307.65807868
2014-09-26,45491620.64743416,43467715.37811043,45931645.85444757,44456775.85396194,44014973.92260273,44672546.33131137,45711633.25094087,44324769.98271577
2014-10-03,48132141.16451496,47773802.81819303,47418513.60777652,45072629.51316039,48116879.8674077,47302793.394210525,47775327.38614574,48007607.95003856
2014-10-10,47141103.45938585,45969651.80823955,48120746.19689645,45212142.343581446,45593375.72107781,46407403.90583621,47630924.82814115,46234710.32956773
2014-10-17,46447779.415544234,45533688.107627004,47496806.06368758,44885631.54291471,46294227.60133598,46131626.5462219,46972292.7396159,46091898.37483574
2014-10-24,46738384.370991305,45798504.766954534,46906116.5707205,44584481.31365006,46599296.12571071,46125356.62960543,46822250.47085591,46378728.42121885
